DISTRITO,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_NUCLEOS_FAMILIARES,N_INDIVIDUOS
AVEIRO,257230,256525,226740,30490,107342,358103,357761,269857,87536,212506,199159,49462,270370,219491,700787
BEJA,94143,93968,91439,2704,26588,108137,107868,58572,48889,25889,45243,7378,59109,41460,144401
BRAGA,276686,275873,232011,44675,93416,399145,398743,301898,96708,236812,215247,61245,302140,255644,832373
BRAGANCA,84576,84417,72476,12100,31267,100472,100316,50704,49548,32140,41722,5998,50788,36529,118863
CASTELO BRANCO,116715,116402,93884,22831,45361,152449,152254,77679,74526,39902,59995,12826,77750,54412,177962
COIMBRA,188245,187581,156771,31474,82758,268161,267815,168911,98788,117771,129733,27911,169095,125363,408551
EVORA,80507,80185,77286,3221,20022,99107,98936,63726,35113,32072,44592,13350,63848,46316,152444
FARO,201078,198114,172428,28650,58878,392315,392047,193395,198021,93535,129301,44545,194192,141290,467343
GUARDA,114698,114575,90221,24477,38125,131553,131346,60741,70579,39285,49780,6957,60783,43407,142974
LEIRIA,215874,214851,192726,23148,71461,293335,293022,187235,105626,138433,144200,30338,187499,140204,458605
LISBOA,365844,355301,248767,117077,124932,1190318,1189145,942350,246315,355472,590290,283718,943439,660847,2275385
PORTALEGRE,67444,67231,63201,4243,21809,81393,81247,43925,37192,20485,31812,8448,44077,31556,104923
PORTO,443651,439844,351220,92431,175248,859956,859207,692854,166027,482744,449248,186930,693399,550474,1784277
SANTAREM,209481,208848,192948,16533,76325,269916,269358,175086,94013,105099,133774,27315,175503,128806,424973
SETUBAL,211746,209870,169098,42648,70190,478271,477834,361149,116295,130439,251115,82895,361873,263807,874806
VIANA DO CASTELO,118710,118339,105071,13639,38621,145493,145355,84081,61212,60823,66365,11818,84212,66304,214640
VILA REAL,119688,119553,104529,15159,39628,142937,142772,76526,66210,48817,61638,9549,76603,57514,185695
VISEU,207281,206942,175211,32070,80034,246314,246048,140134,105742,93625,113423,17369,140334,109018,351292
